time_ms_1	analog_output	time_ms_2	analog_input
9460	-0.561829	9460	4.86725	
9480	-0.544128	9480	4.86786	
9500	-0.562744	9500	4.86725	
9520	-0.547485	9520	4.86786	
9540	-0.563965	9540	4.86725	
9560	-0.54657	9560	4.86786	
9580	-0.557251	9580	4.86755	
9600	-0.548096	9600	4.86755	
9620	-0.561523	9620	4.86725	
9640	-0.54657	9640	4.86786	
9660	-0.562744	9660	4.86725	
9680	-0.545959	9680	4.86786	
9700	-0.560303	9700	4.86725	
9720	-0.546875	9720	4.86786	
9740	-0.562439	9740	4.86725	
9760	-0.554504	9760	4.86755	
9780	-0.557556	9780	4.86755	
9800	-0.558777	9800	4.86755	
9820	-0.561829	9820	4.86755	
9840	-0.559692	9840	4.86755	
9860	-0.562134	9860	4.86755	
9880	-0.558472	9880	4.86755	
9900	-0.567017	9900	4.86725	
9920	-0.560608	9920	4.86755	
9940	-0.568542	9940	4.86725	
9960	-0.560608	9960	4.86755	
9980	-0.566406	9980	4.86755	
